id,Attrition
CM617,0.4468789321947181
PJ010,0.015616021739771422
GJ831,0.09317064109358734
JD352,0.008419854453331509
WZ263,0.31336830490529205
OD346,0.18420668020611836
GF698,0.08781882081543164
JK198,0.14900263066753308
SP276,0.011339636974783665
OP259,0.2769841093665267
CR707,0.04452575694964926
HO168,0.08677989870323045
CX146,0.12004805870131964
NV992,0.3041968046925994
FB734,0.10861278868852106
XV265,0.18767729240328374
IK137,0.025188601577599525
NQ433,0.008714573884750694
EJ758,0.27728284936182
LZ264,0.008411314232292548
CN683,0.5222692989054075
IT461,0.13732489750480975
RM783,0.06344284201153512
XO594,0.014065312290287003
FE371,0.040083481725183466
TK228,0.3303897383481781
TL565,0.07963333812624052
RE100,0.16742292295175853
QH526,0.07533577708638395
PN819,0.021546932993723227
BX304,0.021342505990776903
SR535,0.18334204344477076
CP640,0.08003317858888913
JK557,0.029493322637926037
XK271,0.20272635403795156
VZ410,0.6398290788233981
XQ350,0.08408287248910469
EA752,0.07491950174926645
KJ242,0.07641629946399582
ED771,0.6489003106310266
CZ198,0.014899026321182162
SL602,0.3694966648335831
TE375,0.025417583238174956
JB821,0.11943253304468926
HS723,0.034620736187719145
GC516,0.15170334092803578
UF642,0.2762121625028759
TU929,0.15019106303682253
VG553,0.033245591613157155
TY370,0.05439427154754306
RI593,0.09874024032691056
JS021,0.08882098712143613
XS218,0.07183882347746086
AY845,0.08421033137449954
CS684,0.021085688886478503
RW635,0.03176087325398166
XZ513,0.03346928056386732
OH917,0.2293759840992478
HK502,0.05159106384771654
EJ728,0.028399505844993178
SH206,0.026327157964749315
IS082,0.0407823909855871
UA546,0.06436605794006128
ZV786,0.07429853731352867
BR523,0.03464083861244475
JS809,0.053446932749841275
VG718,0.035548510333977774
YY669,0.503352807160914
CB415,0.32118814364912285
BV464,0.17185781956998705
SG432,0.08394370807127889
LP227,0.010167130279748571
NZ332,0.04016851585369673
FE295,0.07714524939378112
SL792,0.01910860887712135
TP815,0.02396651333031408
VE961,0.011977728801162485
VJ758,0.03259589214526369
LC652,0.09910728725509307
UH315,0.011990241622112499
RI573,0.08306267609343143
QN128,0.8655394530047648
ZN211,0.046822861459440666
IA988,0.0048674173100812495
HD010,0.06980237484167044
DK519,0.09396531085817526
SI381,0.031130834433425254
FV744,0.03888230410898531
SV744,0.12444245901991456
WD211,0.0741295234505604
QL281,0.01750165635821072
SZ983,0.014729420054359612
EN261,0.9956317072587845
IR385,0.15853983742251895
JU831,0.17607663391086856
PC405,0.43075099385579946
DU124,0.553442810822782
CL631,0.04675040546251542
FZ397,0.05713250474790692
ST844,0.09394667177019289
DT843,0.04643519976989147
YO241,0.13359851901493355
BZ579,0.08198809017351118
JJ626,0.03188259246857954
IS719,0.4111733155361104
ET604,0.06358390087507906
IX319,0.16216879093676062
RX835,0.007452481996080398
XV052,0.14205552537728466
TP311,0.018981198955324532
LG507,0.10851835707446049
PN210,0.12017291759961138
DZ935,0.24244049295009537
SP960,0.03997083269598697
FA702,0.046544968012458124
BW613,0.1536616579333708
PU690,0.0518463774777668
RK794,0.31192567468186194
ZP570,0.06947470915239674
HG431,0.03637431779956178
KM255,0.03942223057182263
MK592,0.42429693383366557
JS418,0.021516350497011207
TY520,0.11949615284463803
HB515,0.17127874618147348
MB771,0.01869132615822164
OH810,0.4285724826314296
JX783,0.2640908017346386
AI485,0.5140258716890413
AG533,0.24283332087955192
MX276,0.3676900097802715
EP665,0.011053935760799124
CG356,0.13744872640234806
JA130,0.3441249202495238
RW362,0.03181636045681218
ML355,0.775069551777754
MC102,0.33862123005477285
VN061,0.08996668124799569
AQ187,0.06014533038824891
YP622,0.019907486368361545
UK782,0.0144853884185986
PN361,0.013931438162695717
FL300,0.18808420238943188
UN121,0.337313990271042
HQ180,0.18972532572292197
GM630,0.07280901297451571
LA583,0.4185046812264331
DH404,0.10861128110865849
HH594,0.0124921863638555
JR656,0.005795610479622413
YL930,0.1128235820798053
UW301,0.044386448806471204
MR992,0.02849253629464108
ML271,0.04186491869824983
YD260,0.06112237642062752
RH545,0.1754877929295857
LP066,0.12070411955259745
YS144,0.013655516253768346
NZ991,0.4524266631664537
FO800,0.16186129826438275
MP471,0.03631427916723626
CW134,0.03425517964915176
TO750,0.02554789369821018
EA051,0.07570755614548885
AF536,0.45995818984311393
CQ730,0.08817307652724428
EY697,0.17530516298174822
TR116,0.41522649652356297
FN016,0.5903452799309639
MT749,0.07389734763525091
BA380,0.03076698094384421
CN937,0.06601363535296673
AY103,0.22930594220071535
YE950,0.15884672444399797
NO135,0.17971612351829125
BS504,0.0099388466493057
VX767,0.29317160081343746
JY942,0.012305602818338188
XU653,0.2607982218981862
GK164,0.14843681020686791
ZH962,0.32188966838366095
ZC257,0.09892285838292418
NL940,0.11621419837068533
SU500,0.3509510378542199
BA744,0.11498461730449358
KX457,0.006956300997160068
ST200,0.008420853338929368
AY821,0.010691952604872445
RB969,0.03706094591492875
ZJ663,0.26537463347785634
SL982,0.5447306628192374
OQ686,0.008091262933699057
RQ171,0.059751544127266805
LT372,0.06862388280194155
UL752,0.008599805043591893
AR871,0.049630603297459754
VA534,0.280018151813873
AN478,0.4587340043810022
VP781,0.08642089197030432
YZ452,0.8302711058408742
EK923,0.9786588736257636
PF621,0.04350232329325745
OM616,0.07763586526422538
SE957,0.0240224401722815
FZ500,0.5885662315126551
UU666,0.02406858410073511
DR169,0.04815570307231861
TK347,0.45018654375462497
EJ089,0.08233526689491794
UZ586,0.043048910922873974
PT922,0.020171233434722873
TL765,0.012071024209511194
JD163,0.02412325279367774
AY469,0.022993193782225772
HS342,0.9444526673022824
PI745,0.08499299464918442
VM752,0.031324068792319006
LA434,0.13623777953561905
OF580,0.31197706968390715
SR904,0.5186363334475149
YC730,0.008745441282026142
EP713,0.09220282003436359
MJ240,0.14284702767069757
AB733,0.9189541117253628
UU269,0.16833320728830525
BC743,0.032749218130124484
SF780,0.3880841727944587
QS695,0.16286817686186536
ZH645,0.006556542600408706
IL635,0.04414467643372003
BB050,0.12245203702821046
HW850,0.008857334491610736
PE822,0.07133405669386256
MD430,0.05407067307449893
ZJ676,0.007501296425253843
QM033,0.024072987550174934
JR456,0.042631393467664834
GM634,0.021519196554788195
TE747,0.20677927791203318
KS549,0.3506567808556492
DQ490,0.010513279839207624
RY370,0.2574789835495347
ZF591,0.013346522069853485
UH418,0.05886042010696438
DB432,0.0329707254914548
EX762,0.19775708519161372
ZB264,0.19595026602667637
OG583,0.08455758147805746
JF296,0.07011186950336108
YE811,0.027866304489048192
UQ890,0.5174793548144834
IX935,0.5962526142679101
KI248,0.0467503174131111
OU668,0.14031005218076592
JV188,0.012526227505445459
RY167,0.0188742030624659
AK286,0.4406544608366421
TE630,0.223114421085285
II315,0.05851873997397411
OY876,0.009954656205391852
KV788,0.0020943178664152014
SR752,0.04260181350835246
PP955,0.02677957274717238
KC128,0.024612575148380028
DX436,0.0895273378283088
WJ377,0.034741643039902674
IG293,0.03857291160457055
MF763,0.28650859583317684
UY039,0.2186397012468563
ST320,0.018892307503415248
SR970,0.317903856207195
RJ609,0.016595864106933145
UP751,0.008306160445434061
HO372,0.19205810038837054
WD528,0.058199295757933346
WO082,0.21683067558609165
US149,0.7586122913235239
VZ064,0.3074780618437168
AP153,0.11301979618175888
IS789,0.05312059458706913
MH787,0.06043295423355552
BH989,0.031226297665076754
XJ063,0.022224122005040547
EW982,0.2999647394436983
FK039,0.17746949979599572
EB766,0.20569686548894253
XO012,0.019214335840862577
QZ623,0.6781224929109404
FR820,0.0985753638785468
ED286,0.03879829127599289
LQ713,0.011348597230800839
RZ361,0.33469654207070293
IF234,0.09635073579160586
MQ920,0.013702866218871125
